score,shot_type,hit_points,miss_points,big_miss_points,dart
249,treble,60,20,6,one
248,treble,60,20,6,one
247,treble,60,20,6,one
246,treble,60,20,6,one
245,treble,60,20,6,one
244,treble,60,20,6,one
243,treble,60,20,6,one
242,treble,60,20,6,one
241,treble,60,20,6,one
240,treble,60,20,6,one
239,treble,60,20,6,one
238,treble,60,20,6,one
237,treble,60,20,6,one
236,treble,60,20,6,one
235,treble,60,20,6,one
234,treble,60,20,6,one
233,treble,60,20,6,one
232,treble,60,20,6,one
231,treble,60,20,6,one
230,treble,60,20,6,one
229,treble,60,20,6,one
228,treble,60,20,6,one
227,treble,60,20,6,one
226,treble,60,20,6,one
225,treble,60,20,6,one
224,treble,60,20,6,one
223,treble,60,20,6,one
222,treble,60,20,6,one
221,treble,60,20,6,one
220,treble,60,20,6,one
219,treble,60,20,6,one
218,treble,60,20,6,one
217,treble,60,20,6,one
216,treble,60,20,6,one
215,treble,60,20,6,one
214,treble,60,20,6,one
213,treble,60,20,6,one
212,treble,60,20,6,one
211,treble,60,20,6,one
210,treble,60,20,6,one
209,treble,60,20,6,one
208,treble,60,20,6,one
207,treble,60,20,6,one
206,treble,60,20,6,one
205,treble,60,20,6,one
204,treble,60,20,6,one
203,treble,60,20,6,one
202,treble,60,20,6,one
201,treble,60,20,6,one
200,treble,60,20,6,one
199,treble,60,20,6,one
198,treble,60,20,6,one
197,treble,60,20,6,one
196,treble,60,20,6,one
195,treble,57,19,10,one
194,treble,60,20,6,one
193,treble,60,20,6,one
192,treble,57,19,10,one
191,treble,60,20,6,one
190,treble,60,20,6,one
189,treble,60,20,6,one
188,treble,60,20,6,one
187,treble,60,20,6,one
186,treble,60,20,6,one
185,treble,57,19,10,one
184,treble,60,20,6,one
183,treble,60,20,6,one
182,treble,60,20,6,one
181,treble,60,20,6,one
180,treble,60,20,6,one
179,treble,60,20,6,one
178,treble,60,20,6,one
177,treble,60,20,6,one
176,treble,60,20,6,one
175,treble,60,20,6,one
174,treble,60,20,6,one
173,treble,60,20,6,one
172,treble,60,20,6,one
171,treble,60,20,6,one
170,treble,60,20,6,one
